date,source,document_type,title,description,keywords,ref_no,url,filesize,source_id
2009-11-16,Central Bank of Nigeria,circulars,Foreign Exchange Market (WDAS) Auction No. 36/09,,"Foreign Exchange Market (WDAS) Auction No. 36/09. Trade & Exchange Department. CBN, Batari Musa",TED/FEM/FPC/GEN/01/164/09,https://www.cbn.gov.ng/out/2009/circulars/ted/ted.fem.fpc.gen.01.164.09.pdf,69922,709
2009-11-18,Central Bank of Nigeria,circulars,Foreign Exchange Market (WDAS) Auction No. 37.2009,,"Foreign Exchange Market (WDAS) Auction No. 37.2009, Trade and Exchange Department, Central Bank of Nigeria, Abuja, Batari Musa, All Authorised Dealers.",TED.FEM.FPC.GEN.01.165.09,https://www.cbn.gov.ng/out/2009/circulars/ted/ted.fem.fpc.gen.01.165.09.pdf,69860,708
2009-11-23,Central Bank of Nigeria,circulars,Foreign Exchange Market (WDAS) Auction No. 38/2009,,"CBN offers US$150.00 million, WDAS Auction, Authorised Dealers, Batari Musa Trade & Exchange Department,",TED.FEM.FPC.GEN.01.166.09,https://www.cbn.gov.ng/out/2009/circulars/ted/foreign exchange market (wdas) auction no. 166_09.pdf,69634,707
2009-11-24,Central Bank of Nigeria,circulars,Notice of Meeting on Import Duty Collection Scheme (IDCs),,"Designated Banks,Custom  Revenue Collection, Destination Inspection Service Providers, meeting Abeokuta Friday December 4, 2009, 11.00 am.",TED.FEM.FPC.GEN.01.167.09,https://www.cbn.gov.ng/out/2009/circulars/ted/notice of meeting on import duuty collection scheme (idcs).pdf,69268,706
2009-11-25,Central Bank of Nigeria,circulars,Foreign Exchange Market (WDAS) Auction No. 39/2009,,"CBN offers US$40.00 million Authorised Dealers bids,WDAS, Batari Musa, Trade & Exchange Department.",TED.FEM.FPC.GEN.01.168.09,https://www.cbn.gov.ng/out/2009/circulars/ted/foreign exchange market  (wdas) auction no. 39_2009.pdf,69718,705
2009-11-30,Central Bank of Nigeria,circulars,Foreign Exchange Market (WDAS) Auction No. 40/2009,,"CBN offers $100.00 million,Authorised Dealers,WDAS,bid, Batari Musa, Trade & Exchange Department",TED.FEM.FPC.GEN.01.169.09,https://www.cbn.gov.ng/out/2009/circulars/ted/foreign exchange market (wdas) auction no. 40_2009.pdf,69628,704
2009-12-02,Central Bank of Nigeria,circulars,Foreign Exchange Market (WDAS) Auction No. 41/2009,,"CBN offers $50.00 million, Authorised Dealers WDAS, Batari Musa, Trade & Exchange Department.",TED.FEM.FPC.GEN.01.170.09,https://www.cbn.gov.ng/out/2009/circulars/ted/foreign exchange market (wdas) auction no. 41_2009.pdf,69676,703
2009-12-07,Central Bank of Nigeria,circulars,Foreign Exchange Market (WDAS) Auction No. 42/2009,,"CBN offers US$50.00 million , Authorised Dealers, WDAS Batari Musa, Trade & Exchange Department",TED.FEM.FPC.GEN.01.171.09,https://www.cbn.gov.ng/out/2009/circulars/ted/foreign exchange market (wdas) auction no. 42_2009.pdf,69650,702
2009-12-09,Central Bank of Nigeria,circulars,Foreign Exchange Market (WDAS) Auction No. 43/2009,,"CBN offers $300.00 million, Authorised Dealers,Batari Musa, Trade & Exchange Department.",TED/FEM/FPC/GEN/01/172/09,https://www.cbn.gov.ng/out/2009/circulars/ted/foreign exchange market (wdas) auction no. 43_2009.pdf,69666,700
2009-12-09,Central Bank of Nigeria,circulars,Re: Year 2009 Christian Pilgrimage: Purchase of Pilgrims Travelling Allowance,,"Further circular Ref: TED/FEM/FPC/GEN/01/156 of 29/10/2009. Authorised Dealers, Pilgrims Cross River State purchase PTA First Bank, Calabar nor Fin Bank. Salako, H. A. Trade & Exchange Department.",TED/FEM/FPC/GEN/01/173/09,https://www.cbn.gov.ng/out/2009/circulars/ted/year 2009 christian pilgrimage.pdf,54032,701
