date,amtOffered,auction,auctionDate,auctionNo,id,maturityDate,netType,netValue,rangeBid,rate,rateDescription,securityType,successfulBidRates,tenor,totalAmtRepaid,totalSubscription,totalSuccessful,trueYield,week
2006-06-27,,OMO,June-27-2006,OMO/S/93/06/35,661,August-01-2006,Purchases,500,3.7500% - 12.5000%,3.75,Issue,NTB,3.7500%,35,1000,1500,500,3.7635,
2006-06-27,,OMO,June-27-2006,OMO/S/93/06/364,662,June-26-2007,Sales,12591,13.5000% - 17.0000%,14,Issue,NTB,13.5000% - 14.0000%,364,0,22991,12591,16.2646,
2006-06-28,10000,Primary Market,June-28-2006,28/06/2006,663,December-27-2006,Purchases,3348.25,4.2000% - 12.0000%,11.99,Maginal,NTB,4.2000% - 11.9900%,182,13348.25,11500,10000,12.7502,
2006-06-28,,OMO,June-28-2006,OMO/S/94/06/364,664,June-27-2007,Sales,7745.22,13.8000% - 17.0000%,14,Issue,NTB,13.8000% - 14.0000%,364,15750,39240.72,23495,16.2646,
2006-06-29,,OMO,June-29-2006,OMO/S/95/06/91,665,September-28-2006,Sales,3000,10.5000% - 11.5000%,11.5,Maginal,NTB,10.5000% - 11.5000%,91,0,3000,3000,11.8385,
2006-06-29,,OMO,June-29-2006,OMO/S/95/06/182,666,December-28-2006,Purchases,4050,12.0000% - 13.5000%,13,Issue,NTB,12.0000% - 13.0000%,182,10050,7000,6000,13.8985,
2006-06-29,,OMO,June-29-2006,OMO/S/95/06/364,667,June-28-2007,Sales,25593,13.9400% - 17.0000%,14,Issue,NTB,13.9400% - 14.0000%,364,0,35339,25593,16.2646,
2006-06-30,28944.56,Primary Market,June-30-2006,30/06/2006/7,668,June-30-2013,Sales,21697.56,8.0000% - 16.0000%,16,Issue,FGN Bonds,8.0000% - 16.0000%,7,0,21697.56,21698,16.0491,
2006-06-30,,OMO,June-30-2006,OMO/S/98/06/182,669,December-29-2006,Sales,10494,12.0000% - 13.5000%,13,Issue,NTB,12.0000% - 13.0000%,182,0,12994,10494,13.8985,
2006-06-30,25000,Primary Market,June-30-2006,30/06/2006/364,670,June-29-2007,Sales,25000,10.0000% - 16.5000%,14,Maginal,NTB,10.0000% - 16.5000%,364,0,35490,25000,16.2646,
2006-07-03,,OMO,July-03-2006,OMO/S/97/2006/91,671,October-02-2006,Sales,0,11.5,0,Issue,NTB,0,91,0,10000,0,0,1st Week
2006-07-03,,OMO,July-03-2006,OMO/S/97/2006/182,672,January-01-2007,Sales,0,13,0,Issue,NTB,0,182,0,5000,0,0,1st Week
2006-07-03,,OMO,July-03-2006,OMO/S/97/2006/364,673,July-02-2007,Sales,0,14.00  -  14.50,0,Issue,NTB,0,364,0,2525,0,0,1st Week
2006-07-04,,OMO,July-04-2006,OMO/S/99/06/364,674,July-03-2007,Sales,1525,13.0000% - 14.0000%,13,Issue,NTB,13.0000% -,364,0,7975,1525,14.9303,
2006-07-05,10000,Primary Market,July-05-2006,05/07/2006/182,675,January-03-2007,Sales,9376.66,10.5000% - 13.0000%,11.75,Maginal,NTB,10.5000% - 11.7500%,182,623.34,16015,10000,12.4791,
2006-07-05,,OMO,July-05-2006,OMO/S/100/06/364,676,July-04-2007,Sales,12956,12.0000% - 14.0000%,13,Issue,NTB,12.0000% - 13.0000%,364,750,13906,13706,14.9303,
2006-07-06,,OMO,July-06-2006,OMO/S/100/2006/56,677,August-31-2006,Purchases,-5000,0,0,Issue,NTB,0,56,5000,0,0,0,
2006-07-06,,Primary Market,July-06-2006,06/07/2006,678,October-05-2006,Sales,3.18,5.0000 - 11.9900,8,Issue,NTB,8,91,9996.12,15167.52,10000,8.1624,
2006-07-06,,OMO,July-06-2006,OMO/S/100/2006/182,679,January-04-2007,Sales,6317.94,11.4900 - 12.5000,11.99,Issue,NTB,11.99,182,0,26317.94,6318,12.7502,
2006-07-06,,OMO,July-06-2006,OMO/S/100/2006/364,680,July-05-2007,Sales,10300,12.5000 - 14.0000,12.94,Issue,NTB,12.94,364,0,11450,10300,14.8513,2nd Week
2006-07-07,,OMO,July-07-2006,OMO/S/101/2006/182,681,January-05-2007,Sales,10750,11.7500 - 11.9500,11.95,Issue,NTB,11.7500 - 11.9500,182,0,10750,10750,12.705,
